cntr.code2,cntry.code
AO,AGO
BF,BFA
BI,BDI
BJ,BEN
BW,BWA
CD,COG
CF,CAF
CG,COD
CI,CIV
CM,CMR
CV,CPV
DJ,DJI
DZ,DZA
EG,EGY
ER,ERI
ET,ETH
GA,GAB
GH,GHA
GM,GMB
GN,GIN
GQ,GNQ
GW,GNB
KE,KEN
KM,COM
LR,LBR
LS,LSO
LY,LBY
MA,MAR
MG,MDG
ML,MLI
MR,MRT
MU,MUS
MW,MWI
MZ,MOZ
NM,NAM
NE,NER
NG,NGA
RW,RWA
SC,SYC
SD,SDN
SL,SLE
SN,SEN
SO,SOM
SS,SSD
ST,STP
SZ,SWZ
TD,TCD
TG,TGO
TN,TUN
TZ,TZA
UG,UGA
ZA,ZAF
ZM,ZMB
ZW,ZWE
