country,cntry.code,tot.loss,tot.gain,tree.cov2000.25,tree.cov2000.26.50,tree.cov2000.51.75,tree.cov2000.76.100,losswtree.cov.25,losswtree.cov.26.50,losswtree.cov.51.75,losswtree.cov.76.100,totloss.totlandarea
Sri Lanka,LKA,985,264,24684,4952,9285,26177,64,77,294,551,1.5
Sudan,SDN,69,0,1868187,2471,12,0,55,13,1,0,0.0
Suriname,SUR,724,70,4791,420,567,138564,2,4,9,708,0.5
Swaziland,SWZ,747,603,11310,3962,1386,597,48,84,204,412,4.3
Sweden,SWE,25533,15281,130774,42494,85855,153996,95,302,1790,23346,6.2
Switzerland,CHE,227,104,24221,1255,3120,11363,3,3,19,201,0.6
Syria,SYR,91,16,184360,319,366,455,10,10,17,54,0.0
Taiwan,TWN,267,61,12174,1158,2368,20098,6,7,27,227,0.7
Tajikistan,TJK,7,1,140238,507,131,63,4,1,1,1,0.0
Tanzania,TZA,19903,3041,544450,243832,84708,12320,5111,7880,5740,1173,2.2
Thailand,THA,12049,4992,301598,25899,69216,110454,1402,1050,2985,6612,2.4
Togo,TGO,768,24,48707,6809,1270,5,383,333,50,2,1.4
Trinidad and Tobago,TTO,154,16,1188,111,168,3664,2,2,9,140,3.0
Tunisia,TUN,103,115,152233,568,712,1074,13,12,20,58,0.1
Turkey,TUR,3426,1783,664081,24543,23040,59104,535,488,706,1697,0.4
Turkmenistan,TKM,7,3,466423,69,33,25,2,2,1,2,0.0
Uganda,UGA,3654,685,105539,67065,24230,8489,154,703,1118,1679,1.8
Ukraine,UKR,5657,3529,470946,19510,28312,68474,150,234,900,4372,1.0
United Arab Emirates,ARE,0,0,79190,0,0,0,0,0,0,0,0.0
United Kingdom,GBR,2689,2111,203651,8793,14394,15185,84,167,478,1960,1.1
United States,USA,263944,138082,6294153,424662,462709,1982786,9274,17956,30306,206408,2.9
Uruguay,URY,2027,4985,157077,3568,5359,8522,26,73,282,1646,1.2
Uzbekistan,UZB,15,5,433865,712,309,205,5,3,4,4,0.0
Vanuatu,VUT,41,14,227,211,630,10997,0,0,2,38,0.3
Venezuela,VEN,12958,1910,328461,33724,43779,493663,695,993,2389,8881,1.4
Vietnam,VNM,12289,5643,152816,22284,40869,106971,660,637,2247,8744,3.8
Western Sahara,ESH,0,0,267282,0,0,0,0,0,0,0,0.0
Yemen,YEM,1,0,452043,2,0,0,1,0,0,0,0.0
Zambia,ZMB,13163,181,419962,224188,91539,429,3460,5562,3918,223,1.8
Zimbabwe,ZWE,3869,486,362829,21175,2132,799,2284,1018,353,214,1.0
